"town";"year";"kod";"area";"pop";"type";"nuts3";"nuts4"
"Aggtelek";2015;936;43.82;569;"község";"Borsod-Abaúj-Zemplén";"Putnoki"
"Aggtelek";2018;936;43.82;534;"község";"Borsod-Abaúj-Zemplén";"Putnoki"
"Aggtelek";2016;936;43.82;560;"község";"Borsod-Abaúj-Zemplén";"Putnoki"
"Aggtelek";2020;936;43.82;543;"község";"Borsod-Abaúj-Zemplén";"Putnoki"
"Aggtelek";2022;936;43.82;522;"község";"Borsod-Abaúj-Zemplén";"Putnoki"
"Aggtelek";2019;936;43.82;537;"község";"Borsod-Abaúj-Zemplén";"Putnoki"
"Aggtelek";2017;936;43.82;550;"község";"Borsod-Abaúj-Zemplén";"Putnoki"
"Agyagosszergény";2018;2940;19.89;912;"község";"Győr-Moson-Sopron";"Kapuvári"
"Agyagosszergény";2020;2940;19.88;940;"község";"Győr-Moson-Sopron";"Kapuvári"
"Agyagosszergény";2016;2940;19.89;894;"község";"Győr-Moson-Sopron";"Kapuvári"
"Agyagosszergény";2015;2940;19.89;893;"község";"Győr-Moson-Sopron";"Kapuvári"
"Agyagosszergény";2022;2940;19.88;978;"község";"Győr-Moson-Sopron";"Kapuvári"
"Agyagosszergény";2021;2940;19.88;959;"község";"Győr-Moson-Sopron";"Kapuvári"
"Agyagosszergény";2019;2940;19.88;936;"község";"Győr-Moson-Sopron";"Kapuvári"
"Agyagosszergény";2017;2940;19.89;900;"község";"Győr-Moson-Sopron";"Kapuvári"
"Ajak";2020;877;24.76;3658;"város";"Szabolcs-Szatmár-Bereg";"Kisvárdai"
"Ajak";2018;877;24.76;3751;"város";"Szabolcs-Szatmár-Bereg";"Kisvárdai"
"Ajak";2016;877;24.76;3869;"város";"Szabolcs-Szatmár-Bereg";"Kisvárdai"
"Ajak";2019;877;24.76;3725;"város";"Szabolcs-Szatmár-Bereg";"Kisvárdai"
"Ajak";2021;877;24.76;3656;"város";"Szabolcs-Szatmár-Bereg";"Kisvárdai"
"Ajak";2015;877;24.76;3894;"város";"Szabolcs-Szatmár-Bereg";"Kisvárdai"
"Ajak";2017;877;24.76;3794;"város";"Szabolcs-Szatmár-Bereg";"Kisvárdai"
"Ajak";2022;877;24.76;3603;"város";"Szabolcs-Szatmár-Bereg";"Kisvárdai"
"Ajka";2022;667;95.05;27239;"város";"Veszprém";"Ajkai"
"Ajka";2020;667;95.05;27663;"város";"Veszprém";"Ajkai"
"Ajka";2021;667;95.05;27368;"város";"Veszprém";"Ajkai"
"Ajka";2018;667;95.05;28455;"város";"Veszprém";"Ajkai"
"Ajka";2016;667;95.05;29061;"város";"Veszprém";"Ajkai"
"Ajka";2019;667;95.05;28123;"város";"Veszprém";"Ajkai"
"Ajka";2015;667;95.05;29274;"város";"Veszprém";"Ajkai"
"Ajka";2017;667;95.05;28821;"város";"Veszprém";"Ajkai"
"Aka";2015;668;18.1;249;"község";"Komárom-Esztergom";"Kisbéri"
"Aka";2018;668;18.1;246;"község";"Komárom-Esztergom";"Kisbéri"
"Aka";2019;668;18.09;259;"község";"Komárom-Esztergom";"Kisbéri"
"Aka";2017;668;18.1;250;"község";"Komárom-Esztergom";"Kisbéri"
"Aka";2021;668;18.09;249;"község";"Komárom-Esztergom";"Kisbéri"
"Aka";2020;668;18.09;247;"község";"Komárom-Esztergom";"Kisbéri"
"Aka";2022;668;18.09;253;"község";"Komárom-Esztergom";"Kisbéri"
"Aka";2016;668;18.1;250;"község";"Komárom-Esztergom";"Kisbéri"
"Akasztó";2020;2194;64.88;3330;"község";"Bács-Kiskun";"Kiskőrösi"
"Akasztó";2019;2194;64.88;3325;"község";"Bács-Kiskun";"Kiskőrösi"
"Akasztó";2015;2194;64.88;3405;"község";"Bács-Kiskun";"Kiskőrösi"
"Akasztó";2017;2194;64.88;3344;"község";"Bács-Kiskun";"Kiskőrösi"
"Akasztó";2018;2194;64.88;3310;"község";"Bács-Kiskun";"Kiskőrösi"
"Akasztó";2022;2194;64.88;3334;"község";"Bács-Kiskun";"Kiskőrösi"
"Akasztó";2016;2194;64.88;3381;"község";"Bács-Kiskun";"Kiskőrösi"
"Akasztó";2021;2194;64.88;3301;"község";"Bács-Kiskun";"Kiskőrösi"
"Alacska";2018;3309;8.56;735;"község";"Borsod-Abaúj-Zemplén";"Kazincbarcikai"
"Alacska";2021;3309;8.56;743;"község";"Borsod-Abaúj-Zemplén";"Kazincbarcikai"
"Alacska";2017;3309;8.56;757;"község";"Borsod-Abaúj-Zemplén";"Kazincbarcikai"
"Alacska";2015;3309;8.56;778;"község";"Borsod-Abaúj-Zemplén";"Kazincbarcikai"
"Alacska";2022;3309;8.56;735;"község";"Borsod-Abaúj-Zemplén";"Kazincbarcikai"
"Alacska";2016;3309;8.56;762;"község";"Borsod-Abaúj-Zemplén";"Kazincbarcikai"
"Alacska";2019;3309;8.56;749;"község";"Borsod-Abaúj-Zemplén";"Kazincbarcikai"
"Alacska";2020;3309;8.56;749;"község";"Borsod-Abaúj-Zemplén";"Kazincbarcikai"
"Alap";2020;2682;48.29;1942;"község";"Fejér";"Sárbogárdi"
"Alap";2022;2682;48.29;1948;"község";"Fejér";"Sárbogárdi"
"Alap";2021;2682;48.29;1940;"község";"Fejér";"Sárbogárdi"
"Alap";2016;2682;48.29;1968;"község";"Fejér";"Sárbogárdi"
