"ind1_2d";"ind2_2d";"ind1";"ind2";"egk_coagg";"egk_coagg_mne";"egk_coagg_local";"coagg_porter_emp";"coagg_porter_emp_mne";"coagg_porter_emp_local";"coagg_porter_emp_mixed";"coagg_porter_rca01";"coagg_porter_rca01_mne";"coagg_porter_rca01_local";"coagg_porter_rca01_mixed";"coagg_mat";"coagg_mat_mne";"coagg_mat_local";"coagg_mat_mixed"
20;23;206;234;-0.00869583859959116;NA;-0.0089692693330675;-0.0215122082898307;NA;-0.021557594331882;NA;-0.0716806171501344;NA;-0.0673698249515978;NA;1.56011284124161e-08;NA;2.01773451129165e-08;0
20;23;206;235;0.0290871691610695;NA;0.0341732323854;0.159498652010734;NA;0.174105334167261;NA;0.200777765384089;NA;0.187185364954072;NA;4.18316416889501e-06;NA;5.14860002795406e-06;0
20;23;206;236;0.00372357128845459;NA;0.00234473362040828;0.122611441567417;NA;0.111446631181793;NA;0.124772594877699;NA;0.0895603909333986;NA;2.41462196754844e-06;NA;3.92764509918765e-06;0
20;23;206;237;0.00243086964472246;NA;0.00254506104728842;0.0883866975388634;NA;0.0939255247869306;NA;-0.0440956069798553;NA;-0.0394924202885828;NA;1.86517917624577e-05;NA;1.99078468521451e-05;0
20;23;206;239;0.0721990561081769;NA;0.0802934016620722;0.286779204819089;NA;0.291851436460082;NA;0.10371305784582;NA;0.10371305784582;NA;6.31066806198113e-06;NA;6.63764328329787e-06;0
20;24;201;241;-0.0102725899546267;-0.00243707634865458;-0.0118343201074391;-0.0118255789933295;-0.00626077963682737;-0.0140483313261291;-0.00505656073663596;-0.036049204695725;-0.0243588675923112;0.0306470117971798;-0.0325059328741737;1.91036441879707e-10;3.23553243866724e-10;6.69390692936895e-10;3.51708868986986e-10
20;24;201;242;0.00072528051232894;-0.00931999765983937;0.00551223198980671;-0.00547543142946102;-0.00833628963594553;0.0142420241919893;-0.0116853596848;0.0388447721544501;-0.0139765168174063;0.00692235137228371;-0.0377600533595243;5.84605754283488e-08;0;2.13268322954305e-07;5.0906375091657e-09
20;24;201;243;-0.00863951063858657;-0.0115533716853403;-0.0146509757991612;-0.0116253278269845;-0.0113646036002031;-0.00598655959095437;0.00406478292769229;-0.0866093069948841;-0.0347762106367516;-0.0464890846481588;-0.0528309861341112;3.39109239329614e-09;0;1.14134789231485e-08;6.03674686709388e-09
20;24;201;244;0.00391571866067078;-0.0152792506538135;0.0412234634073834;0.0411132319295524;-0.00765850254492239;0.250803759522097;0.0130687743083342;0.243662661696096;0.240340826910803;0.178992228340479;0.126496178754406;4.15627731430813e-09;1.28970175959256e-10;9.92304976773549e-08;7.15318060501806e-09
20;24;201;245;-0.0020634770502122;0.00259451487639546;-0.005520554328529;-0.0235347440927297;-0.00821650234737106;-0.0258677395788966;-0.0199066535121298;-0.116642368703961;-0.0347762106367516;-0.100503968086079;-0.072093725091059;6.63095963326808e-09;2.21951323046163e-09;2.12967865979728e-08;4.56659574257896e-09
20;24;202;241;-0.00075296547927598;-0.00195176671917408;-0.000919960203458977;0.00496173585204842;-0.0070058674053307;0.00622364675734897;-0.00689117162000829;-0.040682687951681;-0.0107582870727984;-0.0580454325265715;-0.014368053378452;5.42684202041546e-09;0;1.0286092132092e-08;0
20;24;202;242;-0.000375780844519983;-0.00671891005689314;0.000843380639164145;-0.0162206196375651;-0.00617283950617284;-0.0120458712018034;-0.0097197874170455;-0.0717342149788216;-0.00617283950617284;-0.067427648914559;-0.0166904443057498;5.32852768539536e-08;0;6.32674120054322e-08;0
20;24;202;243;-0.00876926284882335;-0.00895228408239404;-0.0145999464891189;-0.0185610462461975;-0.00841523952968691;-0.0116265237020736;-0.0106463057701497;-0.0977413909661662;-0.015359189252803;-0.0943396226415094;-0.0233519964416791;4.03847597549129e-09;0;1.02363867945115e-08;0
20;24;202;244;0.0789529465726321;-0.0135405943754664;0.182536806982118;0.212710011625426;-0.00657796651472171;0.558894919687978;-0.0122095891797016;0.0207232176605485;-0.0107582870727984;0.128112532937662;-0.0166904443057498;1.42220554249652e-07;0;1.05531241126256e-06;0
20;24;202;245;-0.000683635920880074;0.00228857269265434;-0.0025265506362171;-0.0259837090762009;-0.0113675402197901;-0.0147472323177201;-0.0253464637599663;-0.0750805142797051;-0.015359189252803;-0.0138639686299375;-0.0318663824960633;2.39490954139876e-08;0;5.50398654189078e-08;0
20;24;203;241;-0.0176547716216022;-0.00688109574438042;-0.0173366806595656;-0.018946693767646;-0.0154734013418627;-0.0155188140858113;-0.0148316161983511;-0.047732832841294;-0.0290059675557661;-0.0641940738766369;-0.0386911616267068;4.5109817580231e-10;0;1.57716237887797e-09;9.58636506036655e-10
20;24;203;242;-0.00670341095693669;-0.0116482390820995;-0.00717412304451526;-0.0149566961791782;-0.0136335470787303;-0.0220152138338044;-0.0214512397384497;-0.00280551545385622;-0.0166429080420911;0.0155354438445254;-0.0449450361329944;4.00917486751041e-07;0;9.2059535116564e-08;0
20;24;203;243;0.00334221856144591;0.033908775979533;-0.019979638656798;0.106642082930489;0.123426935143524;-0.00847435895620859;-0.015547224244065;0.0100344630544795;0.119302240479142;-0.0370961201588402;0.0413235518930294;1.93263021611855e-07;1.19785506543422e-06;4.34999686193406e-08;7.99336866086484e-08
20;24;203;244;-0.0114937792172932;0.0443013908467696;-0.0105374318712988;0.00364106456430483;0.131277312281586;-0.0283086918546623;0.0401182873298665;-0.0841654636156865;0.19613559013899;-0.0745701304537217;0.234356259836328;1.69553043125623e-08;4.71293296047617e-07;6.84751552381361e-09;4.98596671598769e-07
20;24;203;245;0.00169604236518637;0.0072269540026356;-0.00600727267846352;0.0985699120492832;0.0145032099655954;0.0250339506890892;0.0115531786731485;0.0943839246633443;0.119302240479142;0.0693615458434518;0.078267831394786;2.3920096992276e-07;3.7825956539202e-07;1.98311484532356e-07;6.6123927725725e-07
20;24;204;241;-0.00785647890027098;-0.00709631551338298;-0.00649431021207728;0.023400212169034;-0.00898605718364264;0.0352904517859061;-0.00883783087253585;-0.0567656724456447;-0.01875;-0.00567678066138296;-0.0250313087160879;1.15080731594571e-08;0;3.10913591860506e-08;0
20;24;204;242;-0.00377883584522997;-0.011863458851102;-0.00620491549582164;0.00438173147911603;-0.00791757616561674;-0.0253783106960506;-0.0124654909274697;-0.0284213900249445;-0.0107582870727984;-0.0304988747593152;-0.029077262801129;8.42458386533596e-07;0;3.7647523424967e-07;0
20;24;204;243;-0.0102907807575184;-0.0140968328766029;-0.0171026485245871;0.023771788244163;-0.0107937845883692;0.0148081324468462;-0.013653737709956;0.0284127601491332;-0.0267686478843094;0.071042612315726;-0.040682687951681;7.93910934300282e-08;0;1.16103516026507e-07;0
20;24;204;244;-0.0113105272307956;-0.0186851431696753;-0.00628912807620031;0.00769855724904247;-0.00843721124502007;-0.00173366814411272;-0.0156586267391809;0.0432499413423068;-0.01875;0.0412146956206962;-0.029077262801129;1.92743029781871e-08;0;7.34469178646173e-08;0
20;24;204;245;-0.00330032504487047;-0.00285597610155456;-0.00200577366050256;0.0521497135189258;-0.0145805452119558;0.134825016110573;-0.0253733205367432;0.0793650793650794;-0.0267686478843094;0.0997541147021761;0.0683274194418581;1.65334579718038e-07;0;4.49595998817451e-07;2.45195961126912e-08
20;24;205;241;-0.0152707403908129;-0.0111797243393518;-0.0120555017871245;-0.0244007939087639;-0.0123242484949663;-0.0231460491716184;-0.00669100140490451;-0.0580049637800028;-0.0243588675923112;-0.0809923870734058;-0.0325059328741737;1.37114976734751e-09;0;4.29922694239368e-09;8.23606516719376e-09
20;24;205;242;0.00673383524927132;-0.0159468676770708;0.0194297142559892;0.0708684658558373;-0.010858842109363;0.114163839507332;-0.0170914123270564;0.109583481445881;-0.0139765168174063;0.133285172844624;-0.0377600533595243;3.04891437390496e-06;0;5.28689345682538e-06;0
20;24;205;243;-0.0113357143355085;-0.0181802417025717;-0.0082201113335438;-0.00746760042366851;-0.0148035206931852;0.0372416521344835;-0.0174194524241376;-0.0852327663772371;-0.0347762106367516;-0.0750805142797051;-0.0528309861341112;7.56290224816557e-08;0;2.56246474884446e-07;7.80914765522007e-09
20;24;205;244;-0.0107510814801887;-0.0159603443692234;-0.0027799730184257;-0.00346782494798666;0.00102413457157027;-0.0208265136871469;-0.0139734768169006;0.038963015625202;0.240340826910803;-0.0182940433316151;-0.0377600533595243;2.30847606352551e-08;2.43070696462918e-08;6.95548750290742e-08;3.32608330427867e-08
