"ind_i";"ind_j";"c_ij";"c_i";"c_j";"c";"c_rel";"cr_norm";"e_id"
3;17;0;0;0;468;NA;-1;189
17;3;0;0;0;468;NA;-1;189
3;18;0;0;0;468;NA;-1;190
18;3;0;0;0;468;NA;-1;190
3;19;0;0;0;468;NA;-1;191
19;3;0;4;0;468;NA;-1;191
3;20;0;0;90;468;NA;-1;192
20;3;0;64;0;468;NA;-1;192
3;21;0;0;275;468;NA;-1;193
21;3;0;294;0;468;NA;-1;193
3;22;0;0;0;468;NA;-1;194
22;3;0;0;0;468;NA;-1;194
3;23;0;0;6;468;NA;-1;195
23;3;0;4;0;468;NA;-1;195
3;24;0;0;0;468;NA;-1;196
24;3;0;0;0;468;NA;-1;196
3;25;0;0;1;468;NA;-1;197
25;3;0;2;0;468;NA;-1;197
3;26;0;0;27;468;NA;-1;198
26;3;0;11;0;468;NA;-1;198
3;27;0;0;9;468;NA;-1;199
27;3;0;10;0;468;NA;-1;199
3;28;0;0;17;468;NA;-1;200
28;3;0;37;0;468;NA;-1;200
3;29;0;0;17;468;NA;-1;201
29;3;0;16;0;468;NA;-1;201
3;30;0;0;0;468;NA;-1;202
30;3;0;0;0;468;NA;-1;202
3;31;0;0;0;468;NA;-1;203
31;3;0;0;0;468;NA;-1;203
3;32;0;0;14;468;NA;-1;204
32;3;0;7;0;468;NA;-1;204
3;33;0;0;0;468;NA;-1;205
33;3;0;0;0;468;NA;-1;205
3;35;0;0;0;468;NA;-1;206
35;3;0;0;0;468;NA;-1;206
3;36;0;0;0;468;NA;-1;207
36;3;0;0;0;468;NA;-1;207
3;37;0;0;0;468;NA;-1;208
37;3;0;0;0;468;NA;-1;208
3;38;0;0;0;468;NA;-1;209
38;3;0;0;0;468;NA;-1;209
3;39;0;0;0;468;NA;-1;210
39;3;0;0;0;468;NA;-1;210
3;41;0;0;0;468;NA;-1;211
41;3;0;0;0;468;NA;-1;211
3;42;0;0;0;468;NA;-1;212
42;3;0;0;0;468;NA;-1;212
3;43;0;0;8;468;NA;-1;213
43;3;0;0;0;468;NA;-1;213
3;45;0;0;0;468;NA;-1;214
45;3;0;0;0;468;NA;-1;214
3;46;0;0;0;468;NA;-1;215
46;3;0;0;0;468;NA;-1;215
3;47;0;0;0;468;NA;-1;216
47;3;0;0;0;468;NA;-1;216
3;49;0;0;0;468;NA;-1;217
49;3;0;0;0;468;NA;-1;217
3;50;0;0;0;468;NA;-1;218
50;3;0;0;0;468;NA;-1;218
3;51;0;0;0;468;NA;-1;219
51;3;0;0;0;468;NA;-1;219
3;52;0;0;0;468;NA;-1;220
52;3;0;0;0;468;NA;-1;220
3;53;0;0;0;468;NA;-1;221
53;3;0;0;0;468;NA;-1;221
3;55;0;0;0;468;NA;-1;222
55;3;0;0;0;468;NA;-1;222
3;56;0;0;0;468;NA;-1;223
56;3;0;0;0;468;NA;-1;223
3;58;0;0;0;468;NA;-1;224
58;3;0;0;0;468;NA;-1;224
3;59;0;0;0;468;NA;-1;225
59;3;0;0;0;468;NA;-1;225
3;60;0;0;0;468;NA;-1;226
60;3;0;0;0;468;NA;-1;226
3;61;0;0;0;468;NA;-1;227
61;3;0;0;0;468;NA;-1;227
3;62;0;0;0;468;NA;-1;228
62;3;0;0;0;468;NA;-1;228
3;63;0;0;0;468;NA;-1;229
63;3;0;0;0;468;NA;-1;229
3;64;0;0;0;468;NA;-1;230
64;3;0;0;0;468;NA;-1;230
3;65;0;0;0;468;NA;-1;231
65;3;0;0;0;468;NA;-1;231
3;66;0;0;0;468;NA;-1;232
66;3;0;0;0;468;NA;-1;232
3;68;0;0;0;468;NA;-1;233
68;3;0;0;0;468;NA;-1;233
3;69;0;0;0;468;NA;-1;234
69;3;0;0;0;468;NA;-1;234
3;70;0;0;0;468;NA;-1;235
70;3;0;0;0;468;NA;-1;235
3;71;0;0;0;468;NA;-1;236
71;3;0;0;0;468;NA;-1;236
3;72;0;0;0;468;NA;-1;237
72;3;0;0;0;468;NA;-1;237
3;73;0;0;0;468;NA;-1;238
73;3;0;0;0;468;NA;-1;238
3;74;0;0;0;468;NA;-1;239
74;3;0;0;0;468;NA;-1;239
3;75;0;0;0;468;NA;-1;240
75;3;0;0;0;468;NA;-1;240
3;77;0;0;0;468;NA;-1;241
77;3;0;0;0;468;NA;-1;241
3;78;0;0;0;468;NA;-1;242
78;3;0;0;0;468;NA;-1;242
3;79;0;0;0;468;NA;-1;243
79;3;0;0;0;468;NA;-1;243
3;80;0;0;0;468;NA;-1;244
80;3;0;0;0;468;NA;-1;244
3;81;0;0;0;468;NA;-1;245
81;3;0;0;0;468;NA;-1;245
3;82;0;0;0;468;NA;-1;246
82;3;0;0;0;468;NA;-1;246
3;84;0;0;0;468;NA;-1;247
84;3;0;0;0;468;NA;-1;247
3;85;0;0;0;468;NA;-1;248
85;3;0;0;0;468;NA;-1;248
3;86;0;0;0;468;NA;-1;249
86;3;0;0;0;468;NA;-1;249
3;87;0;0;0;468;NA;-1;250
87;3;0;0;0;468;NA;-1;250
3;88;0;0;0;468;NA;-1;251
88;3;0;0;0;468;NA;-1;251
3;90;0;0;0;468;NA;-1;252
90;3;0;0;0;468;NA;-1;252
3;91;0;0;0;468;NA;-1;253
91;3;0;0;0;468;NA;-1;253
3;92;0;0;0;468;NA;-1;254
92;3;0;0;0;468;NA;-1;254
3;93;0;0;0;468;NA;-1;255
93;3;0;0;0;468;NA;-1;255
3;94;0;0;0;468;NA;-1;256
94;3;0;0;0;468;NA;-1;256
3;95;0;0;0;468;NA;-1;257
95;3;0;0;0;468;NA;-1;257
3;96;0;0;0;468;NA;-1;258
96;3;0;0;0;468;NA;-1;258
3;97;0;0;0;468;NA;-1;259
97;3;0;0;0;468;NA;-1;259
3;98;0;0;0;468;NA;-1;260
98;3;0;0;0;468;NA;-1;260
3;99;0;0;0;468;NA;-1;261
99;3;0;0;0;468;NA;-1;261
5;5;0;0;0;468;NA;-0.5;262
5;6;0;0;0;468;NA;-1;263
6;5;0;0;0;468;NA;-1;263
5;7;0;0;0;468;NA;-1;264
7;5;0;0;0;468;NA;-1;264
5;8;0;0;0;468;NA;-1;265
8;5;0;0;0;468;NA;-1;265
5;9;0;0;0;468;NA;-1;266
9;5;0;0;0;468;NA;-1;266
5;10;0;0;4;468;NA;-1;267
10;5;0;19;0;468;NA;-1;267
5;11;0;0;0;468;NA;-1;268
11;5;0;0;0;468;NA;-1;268
5;12;0;0;0;468;NA;-1;269
12;5;0;0;0;468;NA;-1;269
5;13;0;0;0;468;NA;-1;270
13;5;0;0;0;468;NA;-1;270
5;14;0;0;0;468;NA;-1;271
14;5;0;0;0;468;NA;-1;271
5;15;0;0;0;468;NA;-1;272
15;5;0;0;0;468;NA;-1;272
5;16;0;0;0;468;NA;-1;273
16;5;0;0;0;468;NA;-1;273
5;17;0;0;0;468;NA;-1;274
17;5;0;0;0;468;NA;-1;274
5;18;0;0;0;468;NA;-1;275
18;5;0;0;0;468;NA;-1;275
5;19;0;0;0;468;NA;-1;276
19;5;0;4;0;468;NA;-1;276
5;20;0;0;90;468;NA;-1;277
20;5;0;64;0;468;NA;-1;277
5;21;0;0;275;468;NA;-1;278
21;5;0;294;0;468;NA;-1;278
5;22;0;0;0;468;NA;-1;279
22;5;0;0;0;468;NA;-1;279
5;23;0;0;6;468;NA;-1;280
23;5;0;4;0;468;NA;-1;280
5;24;0;0;0;468;NA;-1;281
24;5;0;0;0;468;NA;-1;281
5;25;0;0;1;468;NA;-1;282
25;5;0;2;0;468;NA;-1;282
5;26;0;0;27;468;NA;-1;283
26;5;0;11;0;468;NA;-1;283
5;27;0;0;9;468;NA;-1;284
27;5;0;10;0;468;NA;-1;284
5;28;0;0;17;468;NA;-1;285
28;5;0;37;0;468;NA;-1;285
5;29;0;0;17;468;NA;-1;286
29;5;0;16;0;468;NA;-1;286
5;30;0;0;0;468;NA;-1;287
30;5;0;0;0;468;NA;-1;287
5;31;0;0;0;468;NA;-1;288
31;5;0;0;0;468;NA;-1;288
5;32;0;0;14;468;NA;-1;289
32;5;0;7;0;468;NA;-1;289
5;33;0;0;0;468;NA;-1;290
33;5;0;0;0;468;NA;-1;290
5;35;0;0;0;468;NA;-1;291
35;5;0;0;0;468;NA;-1;291
5;36;0;0;0;468;NA;-1;292
36;5;0;0;0;468;NA;-1;292
5;37;0;0;0;468;NA;-1;293
37;5;0;0;0;468;NA;-1;293
5;38;0;0;0;468;NA;-1;294
38;5;0;0;0;468;NA;-1;294
5;39;0;0;0;468;NA;-1;295
39;5;0;0;0;468;NA;-1;295
5;41;0;0;0;468;NA;-1;296
41;5;0;0;0;468;NA;-1;296
5;42;0;0;0;468;NA;-1;297
42;5;0;0;0;468;NA;-1;297
5;43;0;0;8;468;NA;-1;298
43;5;0;0;0;468;NA;-1;298
5;45;0;0;0;468;NA;-1;299
45;5;0;0;0;468;NA;-1;299
5;46;0;0;0;468;NA;-1;300
46;5;0;0;0;468;NA;-1;300
5;47;0;0;0;468;NA;-1;301
47;5;0;0;0;468;NA;-1;301
5;49;0;0;0;468;NA;-1;302
49;5;0;0;0;468;NA;-1;302
5;50;0;0;0;468;NA;-1;303
50;5;0;0;0;468;NA;-1;303
5;51;0;0;0;468;NA;-1;304
