"appln_id";"ctry_code";"IPC4d"
15786707;"HU";"C07D"
15786707;"HU";"C12P"
15787596;"HU";"E04B"
15787962;"HU";"A61K"
15787962;"HU";"C08F"
15788425;"HU";"B21B"
15788434;"HU";"C08K"
15789371;"HU";"B61D"
15789371;"HU";"B66C"
15789372;"HU";"B63B"
15790047;"HU";"G06F"
15790047;"HU";"H04L"
15790149;"HU";"C07D"
15790150;"HU";"B23K"
15790151;"HU";"A47B"
15790970;"HU";"B65D"
15791707;"HU";"H04L"
15791707;"HU";"H04Q"
15791707;"HU";"H04W"
15791769;"HU";"F21S"
15791769;"HU";"G09F"
15791770;"HU";"A44B"
15791770;"HU";"B24D"
15794233;"HU";"A61K"
15794233;"HU";"C07C"
15794233;"HU";"C07D"
15794233;"HU";"C12N"
15794233;"HU";"C12P"
15794627;"HU";"G02B"
15794627;"HU";"H04N"
15794628;"HU";"C07D"
15794629;"HU";"A61K"
15794629;"HU";"A61P"
15794629;"HU";"C07B"
15794629;"HU";"C07D"
15794666;"HU";"H04L"
15794666;"HU";"H04M"
15795019;"HU";"C07C"
15795019;"HU";"C12P"
15796072;"HU";"A61K"
15796072;"HU";"A61P"
15796072;"HU";"C07C"
15796850;"HU";"A61K"
15796850;"HU";"A61P"
15796850;"HU";"C07D"
15796851;"HU";"A61K"
15796851;"HU";"A61P"
15796851;"HU";"C07D"
15796852;"HU";"B60C"
15797664;"HU";"H04M"
15799725;"HU";"C07F"
15800076;"HU";"A61B"
15801889;"HU";"B60T"
15806408;"HU";"B60T"
15808266;"HU";"G05B"
15810973;"HU";"C07D"
15810974;"HU";"C07D"
15819167;"HU";"B60R"
15820786;"HU";"A61M"
15820786;"HU";"G06F"
15824829;"HU";"F16B"
15826880;"HU";"G06F"
15826880;"HU";"G06N"
15826880;"HU";"G06T"
15826881;"HU";"G06F"
15826881;"HU";"G06N"
15826881;"HU";"G06T"
15826882;"HU";"G06F"
15826882;"HU";"G06N"
15826882;"HU";"G06T"
15830284;"HU";"A61K"
15830284;"HU";"A61P"
15830849;"HU";"A61K"
15830849;"HU";"A61P"
15830849;"HU";"C07D"
15832268;"HU";"G06F"
15832268;"HU";"H04L"
15832708;"HU";"A23L"
15832708;"HU";"A47J"
15832708;"HU";"H04M"
15836876;"HU";"H01J"
15836877;"HU";"H01J"
15837181;"HU";"H01J"
15837181;"HU";"H05K"
15838523;"HU";"H01J"
15840091;"HU";"H01J"
15841710;"HU";"G06F"
15841783;"HU";"F21V"
15841783;"HU";"F21Y"
15841783;"HU";"H01J"
15841841;"HU";"H01J"
15844411;"HU";"A61K"
15844411;"HU";"C12N"
15847903;"HU";"B65D"
15847903;"HU";"B65G"
15848161;"HU";"H04Q"
15848161;"HU";"H04W"
15849202;"HU";"B26D"
15849202;"HU";"B29B"
15849799;"HU";"A61K"
15849799;"HU";"C12N"
15849819;"HU";"A01K"
15849819;"HU";"C12N"
15850879;"HU";"G01N"
15851103;"HU";"C07D"
15851104;"HU";"G03H"
15851104;"HU";"G11B"
15851104;"HU";"G11C"
15851105;"HU";"G06K"
15851344;"HU";"A01K"
15851344;"HU";"C07K"
15851344;"HU";"C12N"
15852024;"HU";"E04C"
15852025;"HU";"G03H"
15852025;"HU";"G11B"
15852025;"HU";"G11C"
15852715;"HU";"H01M"
15852715;"HU";"H02J"
15853419;"HU";"A61K"
15853419;"HU";"A61P"
15853419;"HU";"C07D"
15853419;"HU";"C12N"
15853419;"HU";"C12P"
15854861;"HU";"A61K"
15854861;"HU";"A61P"
15854861;"HU";"C07C"
15855673;"HU";"C07C"
15855673;"HU";"C07D"
15856198;"HU";"C07K"
15856198;"HU";"C12N"
15856212;"HU";"A23L"
15856212;"HU";"A61K"
15856212;"HU";"A61P"
15856213;"HU";"A61J"
15858213;"HU";"C08K"
15858213;"HU";"C08L"
15858213;"HU";"C09K"
15858819;"HU";"A24C"
15858819;"HU";"A24D"
15859106;"HU";"A61K"
15859106;"HU";"A61P"
15859106;"HU";"C07C"
15859106;"HU";"C07D"
15860149;"HU";"G01F"
15860150;"HU";"C07D"
15860151;"HU";"A61K"
15860151;"HU";"A61P"
15860151;"HU";"C07D"
15860152;"HU";"G02B"
15860152;"HU";"G02F"
15860152;"HU";"H04N"
15860153;"HU";"A61K"
15860153;"HU";"A61P"
15860153;"HU";"C07D"
15860897;"HU";"H04L"
15860897;"HU";"H04Q"
15860897;"HU";"H04W"
15862171;"HU";"A61G"
15863257;"HU";"H04M"
15863257;"HU";"H04Q"
15863357;"HU";"C07B"
15863357;"HU";"C07D"
15863358;"HU";"A61P"
15863358;"HU";"C07D"
15863619;"HU";"A61B"
15863619;"HU";"A61F"
15863700;"HU";"A01N"
15863700;"HU";"A61K"
15863700;"HU";"A61L"
15863700;"HU";"C07D"
15863700;"HU";"C08B"
15863700;"HU";"C08L"
15863790;"HU";"A61K"
15863790;"HU";"C07K"
15863790;"HU";"C12N"
15864618;"HU";"A61K"
15864618;"HU";"A61P"
15864618;"HU";"C07D"
15865003;"HU";"A61B"
15865170;"HU";"H04Q"
15865322;"HU";"A61K"
15865331;"HU";"G06Q"
15865331;"HU";"H04L"
15865331;"HU";"H04M"
15865331;"HU";"H04Q"
15865331;"HU";"H04W"
15866312;"HU";"B60T"
